,visitor_score,home_score,MOV
0,1,8,7
1,4,1,3
2,2,13,11
3,10,5,5
4,0,3,3
5,1,7,6
6,0,2,2
7,2,8,6
8,1,9,8
9,0,1,1
10,3,7,4
11,5,2,3
12,2,7,5
13,4,5,1
14,6,4,2
15,0,1,1
16,7,2,5
17,3,10,7
18,8,3,5
19,6,4,2
20,3,2,1
21,2,7,5
22,5,4,1
23,5,3,2
24,4,1,3
25,1,7,6
26,1,5,4
27,1,9,8
28,1,4,3
29,3,2,1
30,2,9,7
31,7,4,3
32,14,2,12
33,1,9,8
34,3,2,1
35,2,9,7
36,7,6,1
37,3,1,2
38,14,1,13
39,4,6,2
40,11,6,5
41,4,3,1
42,5,1,4
43,5,6,1
44,5,2,3
45,3,2,1
46,7,4,3
47,8,7,1
48,14,6,8
49,5,8,3
50,0,3,3
51,6,5,1
52,2,6,4
53,5,14,9
54,4,1,3
55,2,10,8
56,8,3,5
57,8,5,3
58,3,4,1
59,3,5,2
60,3,4,1
61,5,2,3
62,3,6,3
63,8,3,5
64,6,8,2
65,5,3,2
66,2,5,3
67,4,1,3
68,5,1,4
69,10,7,3
70,4,7,3
71,9,3,6
72,7,12,5
73,4,0,4
74,4,5,1
75,4,2,2
76,0,3,3
77,6,5,1
78,5,1,4
79,3,0,3
80,6,7,1
81,4,7,3
82,0,4,4
83,8,5,3
84,6,3,3
85,1,2,1
86,8,6,2
87,5,3,2
88,2,0,2
89,4,2,2
90,12,7,5
91,4,6,2
92,9,6,3
93,3,5,2
94,10,11,1
95,3,6,3
96,3,6,3
97,8,7,1
98,2,7,5
99,3,2,1
100,1,4,3
101,1,5,4
102,3,5,2
103,2,9,7
104,4,5,1
105,11,2,9
106,1,7,6
107,4,5,1
108,3,4,1
109,1,6,5
110,11,5,6
111,0,3,3
112,2,5,3
113,3,2,1
114,3,7,4
115,6,5,1
116,3,0,3
117,0,4,4
118,1,5,4
119,1,2,1
120,6,9,3
121,4,3,1
122,4,0,4
123,9,2,7
124,1,3,2
125,7,9,2
126,3,2,1
127,9,5,4
128,7,2,5
129,0,2,2
130,2,3,1
131,6,7,1
132,6,4,2
133,4,5,1
134,3,6,3
135,4,5,1
136,11,1,10
137,8,2,6
138,1,10,9
139,4,0,4
140,4,5,1
141,4,2,2
142,2,5,3
143,3,2,1
144,3,7,4
145,1,5,4
146,5,2,3
147,5,3,2
148,1,5,4
149,3,5,2
150,7,14,7
151,2,1,1
152,1,0,1
153,2,1,1
154,1,0,1
155,0,2,2
156,4,3,1
157,6,1,5
158,4,6,2
159,7,11,4
160,3,1,2
161,5,2,3
162,7,6,1
163,6,7,1
164,5,0,5
165,3,1,2
166,4,5,1
167,3,4,1
168,8,7,1
169,8,3,5
170,0,13,13
171,4,6,2
172,2,13,11
173,4,6,2
174,4,5,1
175,5,6,1
176,6,1,5
177,3,5,2
178,0,2,2
179,2,3,1
180,2,7,5
181,8,3,5
182,4,3,1
183,2,3,1
184,17,13,4
185,0,3,3
186,8,4,4
187,0,1,1
188,3,4,1
189,11,0,11
190,2,1,1
191,7,1,6
192,6,9,3
193,5,4,1
194,4,1,3
195,4,8,4
196,1,3,2
197,0,5,5
198,11,5,6
199,3,2,1
200,5,0,5
201,8,4,4
202,3,5,2
203,0,2,2
204,5,3,2
205,3,5,2
206,5,4,1
207,2,4,2
208,2,6,4
209,3,9,6
210,2,4,2
211,2,7,5
212,5,2,3
213,8,0,8
214,2,1,1
215,5,9,4
216,3,5,2
217,3,4,1
218,3,7,4
219,6,2,4
220,9,10,1
221,8,7,1
222,12,8,4
223,1,5,4
224,4,6,2
225,2,1,1
226,4,2,2
227,16,4,12
228,8,13,5
229,10,2,8
230,0,6,6
231,8,2,6
232,5,6,1
233,7,1,6
234,7,8,1
235,8,4,4
236,7,6,1
237,6,2,4
238,4,6,2
239,6,9,3
240,2,1,1
241,10,9,1
242,2,4,2
243,4,5,1
244,8,4,4
245,9,5,4
246,5,4,1
247,7,2,5
248,13,7,6
249,7,5,2
250,1,5,4
251,0,6,6
252,12,2,10
253,3,6,3
254,6,11,5
255,5,4,1
256,4,7,3
257,14,11,3
258,17,8,9
259,2,4,2
260,9,6,3
261,2,11,9
262,2,8,6
263,11,4,7
264,7,4,3
265,1,5,4
266,15,3,12
267,4,3,1
268,1,8,7
269,3,2,1
270,10,5,5
271,1,11,10
272,2,8,6
273,3,10,7
274,5,6,1
275,8,7,1
276,4,12,8
277,6,5,1
278,6,7,1
279,3,7,4
280,5,1,4
281,6,3,3
282,6,5,1
283,6,4,2
284,3,1,2
285,1,2,1
286,2,1,1
287,2,4,2
288,4,2,2
289,5,11,6
290,2,6,4
291,7,6,1
292,3,2,1
293,8,3,5
294,4,5,1
295,6,5,1
296,2,7,5
297,6,5,1
298,6,10,4
299,8,5,3
300,2,3,1
301,4,0,4
302,2,4,2
303,2,4,2
304,2,6,4
305,15,3,12
306,7,5,2
307,6,7,1
308,3,4,1
309,6,7,1
310,7,2,5
311,2,7,5
312,3,1,2
313,4,5,1
314,1,2,1
315,9,11,2
316,11,4,7
317,1,4,3
318,3,6,3
319,14,4,10
320,8,2,6
321,1,10,9
322,8,5,3
323,8,7,1
324,13,6,7
325,4,10,6
326,3,6,3
327,1,2,1
328,1,2,1
329,8,3,5
330,3,4,1
331,6,3,3
332,6,3,3
333,6,4,2
334,5,2,3
335,3,6,3
336,3,5,2
337,9,3,6
338,2,4,2
339,13,6,7
340,0,4,4
341,5,0,5
342,5,3,2
343,9,3,6
344,4,2,2
345,1,4,3
346,6,1,5
347,3,6,3
348,4,6,2
349,2,7,5
350,7,1,6
351,0,9,9
352,10,8,2
353,1,7,6
354,10,5,5
355,1,5,4
356,2,0,2
357,7,8,1
358,6,1,5
359,5,10,5
360,4,5,1
361,2,3,1
362,8,9,1
363,2,11,9
364,8,5,3
365,10,1,9
366,10,5,5
367,2,7,5
368,1,5,4
369,3,5,2
370,2,7,5
371,3,4,1
372,4,7,3
373,2,6,4
374,4,2,2
375,6,5,1
376,3,2,1
377,5,6,1
378,4,5,1
379,7,4,3
380,1,6,5
381,7,2,5
382,3,4,1
383,4,3,1
384,5,12,7
385,2,13,11
386,1,10,9
387,1,5,4
388,0,3,3
389,1,2,1
390,4,5,1
391,5,3,2
392,5,4,1
393,4,5,1
394,1,2,1
395,7,4,3
396,5,4,1
397,3,11,8
398,4,5,1
399,4,5,1
400,3,5,2
401,1,4,3
402,1,6,5
403,2,6,4
404,4,5,1
405,3,9,6
406,3,2,1
407,3,2,1
408,9,3,6
409,4,11,7
410,2,4,2
411,3,9,6
412,6,4,2
413,2,3,1
414,11,8,3
415,5,4,1
416,0,4,4
417,2,4,2
418,1,7,6
419,3,6,3
420,12,5,7
421,2,3,1
422,4,0,4
423,3,0,3
424,8,3,5
425,8,10,2
426,5,4,1
427,2,4,2
428,10,3,7
429,9,7,2
430,8,3,5
431,8,7,1
432,1,5,4
433,1,2,1
434,3,10,7
435,3,6,3
436,6,7,1
437,4,5,1
438,5,6,1
439,3,4,1
440,3,1,2
441,1,9,8
442,3,2,1
443,6,1,5
444,6,0,6
445,7,10,3
446,8,3,5
447,7,0,7
448,2,0,2
449,4,3,1
450,2,0,2
451,2,3,1
452,4,7,3
453,10,2,8
454,5,6,1
455,5,6,1
456,10,4,6
457,2,0,2
458,1,9,8
459,6,4,2
460,4,3,1
461,4,7,3
462,14,2,12
463,2,6,4
464,4,5,1
465,3,16,13
466,5,2,3
467,3,5,2
468,9,6,3
469,3,0,3
470,5,6,1
471,3,4,1
472,2,8,6
473,2,4,2
474,2,4,2
475,3,6,3
476,4,0,4
477,6,7,1
478,1,2,1
479,1,4,3
480,2,1,1
481,7,4,3
482,0,5,5
483,2,1,1
484,4,1,3
485,5,9,4
486,2,5,3
487,10,1,9
488,13,2,11
489,2,3,1
490,12,7,5
491,5,1,4
492,7,8,1
493,2,5,3
494,12,10,2
495,2,7,5
496,7,2,5
497,5,6,1
498,2,1,1
499,6,3,3
500,7,5,2
501,6,0,6
502,1,2,1
503,5,6,1
504,8,5,3
505,5,3,2
506,5,3,2
507,6,8,2
508,4,3,1
509,5,9,4
510,10,3,7
511,16,2,14
512,23,5,18
513,6,5,1
514,10,1,9
515,3,6,3
516,2,3,1
517,12,1,11
518,2,3,1
519,3,5,2
520,0,6,6
521,8,7,1
522,11,4,7
523,9,4,5
524,7,5,2
525,3,4,1
526,6,9,3
527,1,2,1
528,5,0,5
529,2,3,1
530,2,1,1
531,5,8,3
532,1,8,7
533,5,2,3
534,0,3,3
535,8,2,6
536,0,2,2
537,6,2,4
538,4,8,4
539,11,6,5
540,1,5,4
541,7,9,2
542,5,6,1
543,2,6,4
544,5,6,1
545,1,7,6
546,10,9,1
547,6,5,1
548,3,6,3
549,8,7,1
550,2,3,1
551,1,4,3
552,7,1,6
553,7,4,3
554,6,10,4
555,0,2,2
556,2,3,1
557,5,3,2
558,7,0,7
559,4,2,2
560,3,4,1
561,3,6,3
562,6,5,1
563,4,5,1
564,9,10,1
565,6,7,1
566,10,4,6
567,1,6,5
568,8,9,1
569,4,2,2
570,5,1,4
571,3,4,1
572,5,3,2
573,5,2,3
574,3,4,1
575,1,5,4
576,4,8,4
577,6,2,4
578,3,5,2
579,3,4,1
580,7,3,4
581,5,9,4
582,3,10,7
583,1,5,4
584,10,8,2
585,7,3,4
586,1,4,3
587,8,2,6
588,7,6,1
589,10,8,2
590,1,14,13
591,5,3,2
592,2,3,1
593,3,4,1
594,2,4,2
595,4,5,1
596,5,4,1
597,1,5,4
598,2,5,3
599,2,6,4
600,9,8,1
601,0,6,6
602,0,1,1
603,4,8,4
604,2,4,2
605,7,12,5
606,1,6,5
607,10,9,1
608,8,0,8
609,0,3,3
610,8,6,2
611,3,8,5
612,11,2,9
613,2,4,2
614,5,4,1
615,5,6,1
616,5,2,3
617,4,5,1
618,5,14,9
619,5,6,1
620,7,3,4
621,4,6,2
622,1,7,6
623,1,2,1
624,3,5,2
625,6,4,2
626,9,29,20
627,3,0,3
628,3,0,3
629,19,0,19
630,6,7,1
631,2,3,1
632,8,1,7
633,3,5,2
634,1,10,9
635,3,7,4
636,7,2,5
637,2,5,3
638,5,8,3
639,11,1,10
640,6,7,1
641,1,3,2
642,1,6,5
643,2,12,10
644,6,3,3
645,4,3,1
646,6,2,4
647,7,6,1
648,3,4,1
649,3,4,1
650,4,8,4
651,3,4,1
652,11,0,11
653,3,5,2
654,0,1,1
655,1,3,2
656,0,6,6
657,1,10,9
658,3,1,2
659,1,11,10
660,10,6,4
661,18,1,17
662,7,8,1
663,7,3,4
664,0,14,14
665,5,2,3
666,4,7,3
667,7,5,2
668,12,6,6
669,4,2,2
670,4,8,4
671,1,2,1
672,1,7,6
673,4,5,1
674,2,5,3
675,10,1,9
676,2,3,1
677,2,1,1
678,7,3,4
679,2,5,3
680,5,3,2
681,0,11,11
682,1,8,7
683,1,2,1
684,1,8,7
685,12,0,12
686,5,7,2
687,1,3,2
688,0,6,6
689,1,3,2
690,10,5,5
691,6,3,3
692,3,6,3
693,3,7,4
694,8,4,4
695,1,14,13
696,1,3,2
697,1,3,2
698,4,9,5
699,2,6,4
700,1,2,1
701,3,2,1
702,2,7,5
703,5,6,1
704,9,0,9
705,9,8,1
706,5,1,4
707,2,6,4
708,5,6,1
709,1,4,3
710,1,3,2
711,0,6,6
712,1,4,3
713,2,0,2
714,3,18,15
715,6,20,14
716,1,4,3
717,3,1,2
718,1,6,5
719,9,6,3
720,1,5,4
721,5,1,4
722,2,3,1
723,0,1,1
724,3,1,2
725,4,0,4
726,1,0,1
727,4,8,4
728,4,2,2
729,0,6,6
730,2,13,11
731,5,4,1
732,7,5,2
733,3,9,6
734,4,2,2
735,3,7,4
736,3,1,2
737,10,6,4
738,3,4,1
739,9,3,6
740,10,3,7
741,1,2,1
742,5,3,2
743,7,10,3
744,10,6,4
745,1,5,4
746,4,6,2
747,2,6,4
748,2,1,1
749,6,5,1
750,0,1,1
751,1,7,6
752,15,6,9
753,1,0,1
754,6,3,3
755,5,0,5
756,3,14,11
757,5,9,4
758,15,2,13
759,0,6,6
760,0,7,7
761,7,8,1
762,6,5,1
763,7,2,5
764,6,1,5
765,3,4,1
766,3,1,2
767,8,0,8
768,8,1,7
769,5,0,5
770,6,1,5
771,2,5,3
772,2,3,1
773,3,7,4
774,0,5,5
775,2,7,5
776,0,6,6
777,1,3,2
778,5,4,1
779,1,4,3
780,7,2,5
781,1,2,1
782,2,10,8
783,4,0,4
784,3,7,4
785,3,6,3
786,7,4,3
787,2,3,1
788,1,2,1
789,15,0,15
790,3,5,2
791,7,0,7
792,14,2,12
793,6,3,3
794,2,1,1
795,7,4,3
